Symbol,Security,GICS Sector,GICS Sub-Industry,market_cap,perf_1y,perf_3y,perf_5y,perf_10y,perf_life,company_name,class_count,company_weight,weight
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,3614462967808,0.8165583757465942,1.9553912774498832,1.95540599718775,7.118774615144458,119.53903377261737,Alphabet Inc.,2,0.062430579098318985,0.031215289549159492
MO,Altria,Consumer Staples,Tobacco,108223963136,0.18937315414269396,0.7770649133960204,0.8431595630098281,1.0182656821280252,26591.036466021214,Altria,1,0.001862403843407338,0.001862403843407338
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2204630515712,0.05344959390644033,1.1018319214151275,0.32033798525932533,6.414347071353185,2096.388598268615,Amazon,1,0.03793903149338028,0.03793903149338028
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,17687109632,-0.19072503413353248,-0.20314806190193158,-0.17371805269992202,0.11142624997452599,0.6460399726263424,Amcor,1,0.00030437381891114916,0.00030437381891114916
AEE,Ameren,Utilities,Multi-Utilities,29317582848,0.09158830128583895,0.3541524366081332,0.5740410366084809,1.9102509256061855,8.079536755063154,Ameren,1,0.000504520231872432,0.000504520231872432
AEP,American Electric Power,Utilities,Electric Utilities,67964657664,0.22260382978672855,0.5328931791614859,0.8021109103235122,1.7580627308466656,139.54419356442963,American Electric Power,1,0.0011695897653483025,0.0011695897653483025
AXP,American Express,Financials,Consumer Finance,203555667968,0.10270146909656419,0.929882073817071,1.243143783151166,4.56170956499101,240.3797510768606,American Express,1,0.0035029474747154685,0.0035029474747154685
AIG,American International Group,Financials,Multi-line Insurance,40139063296,-0.0913634646413044,0.6267558566371438,0.8021245059516828,0.7833841559327093,4.49949819374424,American International Group,1,0.0006907448552710965,0.0006907448552710965
AMT,American Tower,Real Estate,Telecom Tower REITs,82763636736,-0.14596308820262227,-0.031242106340454878,-0.09338720374948861,1.251166059434616,12.91585123925624,American Tower,1,0.0014242623415832174,0.0014242623415832174
AWK,American Water Works,Utilities,Water Utilities,26507384832,-0.018354586556302843,0.0206601745590691,0.07311682358308702,1.4416051084452648,9.182391114140064,American Water Works,1,0.000456160114260059,0.000456160114260059
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,40780034048,-0.09821645660015133,0.5905505071493673,1.0639330251416883,4.733816693052128,16.767368971324423,Ameriprise Financial,1,0.0007017751886413167,0.0007017751886413167
AME,Ametek,Industrials,Electrical Components & Equipment,47959425024,0.1978377366666917,0.5410041496562654,0.7600048023667048,3.486483636520286,225.01820321787676,Ametek,1,0.0008253238460696511,0.0008253238460696511
AMGN,Amgen,Health Care,Biotechnology,187487715328,0.13862153253346388,0.6278044705273051,0.6296124284953071,2.1846904065851023,1494.8583092611086,Amgen,1,0.0032264373942740626,0.0032264373942740626
APH,Amphenol,Information Technology,Electronic Components,155790704640,0.919611775868522,2.3405394350826456,3.092820075534064,8.716143015719727,1008.313189577752,Amphenol,1,0.002680970079833996,0.002680970079833996
ADI,Analog Devices,Information Technology,Semiconductors,151065001984,0.525745272337141,0.7399008798600515,1.1830472507968648,5.374932588499453,694.615342633889,Analog Devices,1,0.002599646438245722,0.002599646438245722
AON,Aon plc,Financials,Insurance Brokers,69989367808,-0.16829854141451173,0.10579615658088604,0.509651076256151,2.506533850833752,300.49015012906347,Aon plc,1,0.0012044325843017427,0.0012044325843017427
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,13815665664,0.9995752162681637,0.3325941912268944,1.3867842421915824,0.006618529408126239,21.505181401885647,APA Corporation,1,0.00023775093875956347,0.00023775093875956347
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,65007329280,-0.21450761720961364,1.0724987392824894,1.5192848008160524,8.908429434724203,14.822869781003625,Apollo Global Management,1,0.001118697711601778,0.001118697711601778
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",3644938780672,0.1633388495321777,0.5983653320658349,1.063465610489319,9.338709505559141,2521.85124361521,Apple Inc.,1,0.06272499913514892,0.06272499913514892
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,283366326272,1.333554885392433,1.9540341454430097,2.1225169369468064,18.269173186488644,5167.600600942613,Applied Materials,1,0.004876392619978268,0.004876392619978268
APP,AppLovin,Information Technology,Application Software,149507915776,0.4422312992525512,31.528676635274422,5.785123241640957,5.785123241640957,5.785123241640957,AppLovin,1,0.002572850863085981,0.002572850863085981
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,14514924544,0.08994876717445655,-0.374138406377139,-0.5304743406890926,0.17345525730061873,3.167945354453842,Aptiv,1,0.00024978434049344905,0.00024978434049344905
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,33470375936,-0.0016224326818350399,0.47944044910719863,1.649906919906436,3.132816780171888,40.11034969481639,Arch Capital Group,1,0.0005759847909576268,0.0005759847909576268
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,31841126400,0.4725669059840263,-0.050677925825323045,0.34864035954894046,1.3323582717381703,74.25927946632439,Archer Daniels Midland,1,0.0005479473719813607,0.0005479473719813607
ARES,Ares Management,Financials,Asset Management & Custody Banks,35034435584,-0.2573606775903551,0.5474450739577106,1.2462942827325207,10.503442813157973,8.45774203672863,Ares Management,1,0.0006029003706069602,0.0006029003706069602
ANET,Arista Networks,Information Technology,Communications Equipment,165243387904,0.5815354862012512,2.196589614117112,6.233488439384152,33.53157970192031,37.173091264204544,Arista Networks,1,0.0028436393550227345,0.0028436393550227345
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,55230222336,-0.3513108287035399,0.21078200135316405,0.8545556768058493,4.74703554085255,342.02496468464784,Arthur J. Gallagher & Co.,1,0.000950445496267288,0.000950445496267288
AIZ,Assurant,Financials,Multi-line Insurance,10657761280,0.01933792189696759,1.0120240613951776,0.6466146780617981,2.3061589992140394,11.682249728875814,Assurant,1,0.00018340721402935992,0.00018340721402935992
T,AT&T,Communication Services,Integrated Telecommunication Services,200702312448,0.10301923287861814,0.8080073301645541,0.729079492424425,0.94901357288881,109.19935712804121,AT&T,1,0.003453844668524777,0.003453844668524777
ATO,Atmos Energy,Utilities,Gas Utilities,29860075520,0.22334289715850764,0.6916087797359203,1.185917891186552,2.2065918345798194,142.44245271962856,Atmos Energy,1,0.0005138558762905122,0.0005138558762905122
ADSK,Autodesk,Information Technology,Application Software,52573880320,-0.07404227200639568,0.2373516004332028,-0.06756650074922743,3.2631943149270413,557.1245516847638,Autodesk,1,0.0009047330548019361,0.0009047330548019361
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,84404404224,-0.2809047722401128,0.03548291163084816,0.25947010142740234,1.9133638642718789,536.8157463039578,Automatic Data Processing,1,0.0014524979706180639,0.0014524979706180639
AZO,AutoZone,Consumer Discretionary,Automotive Retail,54230224896,-0.08128998035331247,0.3729262284168886,1.4476968536508692,3.1736375588203822,446.03317819148936,AutoZone,1,0.0009332367467289523,0.0009332367467289523
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,22849175552,-0.2095174731752435,0.10294085746085724,0.0313823508788047,0.2191788702211368,23.050327981557814,AvalonBay Communities,1,0.0003932067458411005,0.0003932067458411005
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,12395949056,-0.07021778850407345,0.004452416151646821,-0.027625954360817495,1.7253303421686486,78.50459717186686,Avery Dennison,1,0.0002133193286921542,0.0002133193286921542
AXON,Axon Enterprise,Industrials,Aerospace & Defense,39898951680,-0.11128021904933982,1.322056832206297,2.4279890472316263,25.174578743523966,1077.8477826327487,Axon Enterprise,1,0.0006866128240321076,0.0006866128240321076
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,59640070144,0.37776891413671887,1.3981968187384597,2.060282401778866,1.3777134685430403,8.749309646340494,Baker Hughes,1,0.00102633365697103,0.00102633365697103
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",15291351040,0.12270332908683779,0.15013270255949807,-0.278781039354285,0.8145761740340918,447.4230927773239,Ball Corporation,1,0.00026314570380313074,0.00026314570380313074
BAC,Bank of America,Financials,Diversified Banks,344385683456,0.13513968889301875,0.8370657141182238,0.41397203557029716,3.2502680115677514,30.45750252208369,Bank of America,1,0.0059264621429259475,0.0059264621429259475
BAX,Baxter International,Health Care,Health Care Equipment,8309014016,-0.5104497126441766,-0.5469232252673539,-0.7793697870589402,-0.5274236304175002,10.65735857550943,Baxter International,1,0.00014298810716141912,0.00014298810716141912
BDX,Becton Dickinson,Health Care,Health Care Equipment,55840546816,-0.13452346955098748,-0.1308454382624522,-0.09583522016823387,0.5689434116094088,174.2577628753885,Becton Dickinson,1,0.0009609484442682698,0.0009609484442682698
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0,,,,,,Berkshire Hathaway,1,0.0,0.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,13194358784,-0.09939610143789024,-0.07179306090078452,-0.36123161003234616,1.7429210134748936,681.4839401315985,Best Buy,1,0.00022705899690382753,0.00022705899690382753
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,8054215680,-0.14185875398725334,-0.28005915869309284,-0.45412650398456256,1.3120994407600857,562.2298910764604,Bio-Techne,1,0.00013860333518939417,0.00013860333518939417
BIIB,Biogen,Health Care,Biotechnology,26630803456,0.2834913032028561,-0.32268297475473795,-0.33370048779492956,-0.291310230951512,57.0672021484375,Biogen,1,0.0004582839998859882,0.0004582839998859882
